INFO:tensorflow:Restoring parameters from /data/users/demelin/thesis/cognitive_language_model/src/checkpoints/best_cog_lm.ckpt
INFO:root:Model restored from best_cog_lm.ckpt
INFO:root:[TRAINING] Epoch: 0 | Step: 100 | Global step: 100 | Running loss avg: 3.3961
INFO:root:[TRAINING] Epoch: 0 | Step: 200 | Global step: 200 | Running loss avg: 3.0399
INFO:root:[TRAINING] Epoch: 0 | Step: 300 | Global step: 300 | Running loss avg: 2.9316
INFO:root:[TRAINING] Epoch: 0 | Step: 400 | Global step: 400 | Running loss avg: 2.8808
INFO:root:[TRAINING] Epoch: 0 | Step: 500 | Global step: 500 | Running loss avg: 2.8319
INFO:root:[TRAINING] Epoch: 0 | Step: 600 | Global step: 600 | Running loss avg: 2.7998
INFO:root:[TRAINING] Epoch: 0 | Step: 700 | Global step: 700 | Running loss avg: 2.7075
INFO:root:[TRAINING] Epoch: 0 | Step: 800 | Global step: 800 | Running loss avg: 2.6617
INFO:root:[TRAINING] Epoch: 0 | Step: 900 | Global step: 900 | Running loss avg: 2.5740
INFO:root:[TRAINING] Epoch: 0 | Step: 1000 | Global step: 1000 | Running loss avg: 2.4426
INFO:root:[TRAINING] Epoch: 0 | Step: 1100 | Global step: 1100 | Running loss avg: 2.3953
INFO:root:[TRAINING] Epoch: 0 | Step: 1200 | Global step: 1200 | Running loss avg: 2.1654
INFO:root:[TRAINING] Epoch: 0 | Step: 1300 | Global step: 1300 | Running loss avg: 1.6356
INFO:root:[TRAINING] Epoch: 0 | Step: 1400 | Global step: 1400 | Running loss avg: 1.5064
INFO:root:[TRAINING] Epoch: 0 | Step: 1500 | Global step: 1500 | Running loss avg: 1.8640
INFO:root:[TRAINING] Epoch: 0 | Step: 1600 | Global step: 1600 | Running loss avg: 1.7769
INFO:root:[TRAINING] Epoch: 0 | Step: 1700 | Global step: 1700 | Running loss avg: 1.7115
INFO:root:[TRAINING] Epoch: 0 | Step: 1800 | Global step: 1800 | Running loss avg: 1.9658
INFO:root:[TRAINING] Epoch: 0 | Step: 1900 | Global step: 1900 | Running loss avg: 1.9311
INFO:root:[TRAINING] Epoch: 0 | Step: 2000 | Global step: 2000 | Running loss avg: 1.9662
